6817_3#1,HKU17,18/03/2011,6817_3#1-40620
6817_3#2,HKU18,25/03/2011,6817_3#2-40627
6817_3#3,HKU19,29/03/2011,6817_3#3-40631
6817_3#4,HKU20,01/04/2011,6817_3#4-40634
6817_3#5,HKU21,18/04/2011,6817_3#5-40651
6817_3#6,HKU22,04/05/2011,6817_3#6-40667
6817_3#7,HKU23,18/05/2011,6817_3#7-40681
6817_3#8,HKU24,03/06/2011,6817_3#8-40697
6817_3#9,HKU25,09/06/2011,6817_3#9-40703
6817_3#10,HKU26,14/06/2011,6817_3#10-40708
6817_3#11,HKU27,14/01/2011,6817_3#11-40557
6817_3#12,HKU28,14/01/2011,6817_3#12-40557
6817_3#13,HKU29,20/01/2011,6817_3#13-40563
6817_3#14,HKU31,08/02/2011,6817_3#14-40582
6817_3#15,HKU32,08/02/2011,6817_3#15-40582
6817_3#16,HKU33,10/02/2011,6817_3#16-40584
6817_3#17,HKU34,16/02/2011,6817_3#17-40590
6817_3#18,HKU35,16/02/2011,6817_3#18-40590
6817_3#19,HKU36,21/02/2011,6817_3#19-40595
6817_3#20,HKU37,24/02/2011,6817_3#20-40598
6817_3#21,HKU38,28/02/2011,6817_3#21-40602
6817_3#22,HKU39,28/02/2011,6817_3#22-40602
6817_3#23,HKU40,09/03/2011,6817_3#23-40611
6817_3#24,HKU41,11/03/2011,6817_3#24-40613
6817_3#25,HKU42,14/03/2011,6817_3#25-40616
6817_3#26,HKU43,14/03/2011,6817_3#26-40616
6817_3#27,HKU44,31/03/2011,6817_3#27-40633
6817_3#28,HKU45,06/04/2011,6817_3#28-40639
6817_3#29,HKU46,15/04/2011,6817_3#29-40648
6817_3#30,HKU47,19/04/2011,6817_3#30-40652
6817_3#31,HKU48,04/05/2011,6817_3#31-40667
6817_3#32,HKU49,09/05/2011,6817_3#32-40672
6817_3#33,HKU50,12/05/2011,6817_3#33-40675
6817_3#34,HKU51,17/05/2011,6817_3#34-40680
6817_3#35,HKU52,17/05/2011,6817_3#35-40680
6817_3#36,HKU53,18/05/2011,6817_3#36-40681
6817_3#37,HKU54,19/05/2011,6817_3#37-40682
6817_3#38,HKU55,01/06/2011,6817_3#38-40695
6817_3#39,HKU56,01/06/2011,6817_3#39-40695
6817_3#41,HKU58,07/06/2011,6817_3#41-40701
6817_3#42,HKU74,30/06/2005,6817_3#42-38533
6817_3#43,HKU81,30/06/2005,6817_3#43-38533
6817_3#44,HKU84,30/06/2005,6817_3#44-38533
6817_3#45,HKU86,30/06/2005,6817_3#45-38533
6817_3#46,HKU89,30/06/2006,6817_3#46-38898
6817_3#47,HKU98,30/06/2006,6817_3#47-38898
6817_3#48,HKU99,30/06/2006,6817_3#48-38898
6817_3#49,HKU104,30/06/2007,6817_3#49-39263
6817_3#50,HKU111,30/06/2007,6817_3#50-39263
6817_3#51,HKU116,30/06/2007,6817_3#51-39263
6817_3#52,HKU127,30/06/2008,6817_3#52-39629
6817_3#53,HKU137,30/06/2009,6817_3#53-39994
6817_3#54,HKU138,30/06/2009,6817_3#54-39994
6817_3#55,HKU139,30/06/2009,6817_3#55-39994
6817_3#56,HKU151,30/06/2010,6817_3#56-40359
6817_3#57,HKU152,30/06/2010,6817_3#57-40359
6817_3#58,HKU153,30/06/2010,6817_3#58-40359
6817_3#59,HKU157,30/06/2010,6817_3#59-40359
6817_3#60,HKU160,30/06/2010,6817_3#60-40359
6817_3#61,HKU161,30/06/2010,6817_3#61-40359
6817_3#62,HKU165,30/06/2005,6817_3#62-38533
6817_3#64,HKU189,15/07/2005,6817_3#64-38548
6817_3#67,HKU283,22/05/2008,6817_3#67-39590
6817_3#68,HKU288,30/06/2008,6817_3#68-39629
6817_3#69,HKU294,12/03/2008,6817_3#69-39519
6817_3#70,HKU306,28/03/2011,6817_3#70-40630
6817_3#71,HKU309,30/06/2011,6817_3#71-40724
6817_3#72,HKU311,15/06/2011,6817_3#72-40709
6817_3#73,HKU315,17/06/2011,6817_3#73-40711
6817_3#74,HKU320,17/05/2011,6817_3#74-40680
6817_3#75,HKU322,11/06/2011,6817_3#75-40705
6817_3#76,HKU324,29/05/2011,6817_3#76-40692
6817_3#77,HKU326,08/06/2011,6817_3#77-40702
6817_3#78,HKU327,10/06/2011,6817_3#78-40704
6817_3#79,HKU328,25/05/2011,6817_3#79-40688
6817_3#80,HKU330,25/03/2011,6817_3#80-40627
6817_3#81,HKU331,27/03/2011,6817_3#81-40629
6817_3#82,HKU333,06/01/2011,6817_3#82-40549
6817_3#83,HKU334,22/03/2011,6817_3#83-40624
6817_3#84,HKU335,23/06/2011,6817_3#84-40717
6817_3#85,HKU336,22/03/2011,6817_3#85-40624
6817_3#86,HKU343,02/03/2011,6817_3#86-40604
6817_3#87,HKU347,11/03/2011,6817_3#87-40613
6817_3#88,HKU349,19/04/2011,6817_3#88-40652
6817_3#89,HKU354,29/06/2011,6817_3#89-40723
6817_3#90,HKU355,23/06/2011,6817_3#90-40717
6817_3#91,HKU356,25/06/2011,6817_3#91-40719
6817_3#92,HKU357,23/06/2011,6817_3#92-40717
6817_3#93,HKU358,25/06/2011,6817_3#93-40719
6817_3#94,HKU359,28/06/2011,6817_3#94-40722
6817_3#95,HKU360,27/06/2011,6817_3#95-40721
6817_3#96,HKU361,02/06/2008,6817_3#96-39601
6817_4#1,HKU362,10/06/2008,6817_4#1-39609
6817_4#2,HKU363,28/08/2008,6817_4#2-39688
6817_4#3,HKU364,11/10/2008,6817_4#3-39732
