isolate,ENA_accession,name,id,contigs,contig_name,country,continent,year,serogroup
ERR017018,ERS007008,10,31,275,31_10.fas,Burkina Faso,Africa,1963,A
ERR017076,ERS006943,20,34,213,34_20.fas,Niger,Africa,1963,A
ERR017069,ERS006950,26,35,194,35_26.fas,Niger,Africa,1963,A
ERR017049,ERS006992,106,488,200,488_106.fas,Morocco,Africa,1967,A
ERR018866,ERS006917,153,238,360,238_153.fas,China,Asia,1966,A
ERR017066,ERS006942,154,239,181,239_154.fas,China,Asia,1966,A
ERR016991,ERS006955,243,52,229,52_243.fas,Cameroon,Africa,1966,A
ERR017045,ERS006996,254,64,251,64_254.fas,Djibouti,Africa,1966,A
ERR017046,ERS006995,255,46,194,46_255.fas,Burkina Faso,Africa,1966,A
ERR016992,ERS006953,371,466,231,466_371.fas,India,Asia,1980,A
ERR017020,ERS007006,393,61,282,61_393.fas,Greece,Europe,1968,A
ERR017063,ERS006931,400,646,327,646_400.fas,Austria,Europe,1991,B
ERR017026,ERS006904,500,343,305,343_500.fas,Italy,Europe,1984,C
ERR133796,ERS094832,528,445,969,445_528.fas,Russia,Asia,1989,B
ERR017012,ERS006979,690,467,296,467_690.fas,India,Asia,1980,A
ERR017028,ERS006905,1000,446,578,446_1000.fas,Russia,Asia,1988,B
ERR017022,ERS007004,1014,160,280,160_1014.fas,Sudan,Africa,1985,A
ERR017029,ERS006915,3906,443,415,443_3906.fas,China,Asia,1977,B
ERR045769,ERS006970,6748,10,652,10_6748.fas,Canada,North America,1971,A
ERR017073,ERS006946,7891,7,199,7_7891.fas,Finland,Europe,1975,A
ERR017036,ERS006908,8680,441,375,441_8680.fas,Chile,South America,1987,B
ERR016989,ERS006963,79126,494,264,494_79126.fas,China,Asia,1979,A
ERR017007,ERS006984,79128,492,406,492_79128.fas,China,Asia,1979,A
ERR045772,ERS006967,80049,299,256,299_80049.fas,China,Asia,1963,A
ERR045770,ERS006969,92001,597,220,597_92001.fas,China,Asia,1992,A
ERR018872,ERS006922,860060,657,375,657_860060.fas,Netherlands,Europe,1986,X
ERR017059,ERS006935,860800,661,323,661_860800.fas,Netherlands,Europe,1986,Y
ERR018867,ERS006927,890326,658,407,658_890326.fas,Netherlands,Europe,1989,Z
ERR017065,ERS006940,931905,651,262,651_931905.fas,Netherlands,Europe,1993,B
ERR017054,ERS006929,2059001,387,284,387_2059001.fas,Mali,Africa,1990,A
ERR017017,ERS007009,11-004,82,258,82_11-004.fas,China,Asia,1984,A
ERR017021,ERS007005,120M,2,359,2_120M.fas,Pakistan,Asia,1967,A
ERR017024,ERS007002,129E,11,272,11_129E.fas,Germany,Europe,1964,A
ERR017003,ERS006977,139M,13,293,13_139M.fas,Philippines,Asia,1968,A
ERR018864,ERS006916,14/1455,451,770,451_14_1455.fas,Russia,Asia,1970,A
ERR017048,ERS006993,196/87,340,248,340_196_87.fas,Norway,Europe,1987,C
ERR017056,ERS006938,204/92,645,418,645_204_92.fas,Cuba,North America,1992,B
ERR018874,ERS006920,297-0,442,840,442_297-0.fas,Chile,South America,1987,B
ERR018868,ERS006926,312_901,642,290,642_312 901.fas,UK,Europe,1996,C
ERR017047,ERS006994,322/85,493,269,493_322_85.fas,Germany,Europe,1985,A
ERR017041,ERS006989,38VI,349,209,349_38VI.fas,USA,North America,1964,B
ERR017053,ERS006930,50/94,649,348,649_50_94.fas,Norway,Europe,1994,B
ERR017057,ERS006937,71/94,660,311,660_71_94.fas,Norway,Europe,1994,Y
ERR018865,ERS006918,88/03415,654,998,654_88_03415.fas,UK,Europe,1988,B
ERR045767,ERS006972,90/18311,391,210,391_90_18311.fas,UK,Europe,1990,C
ERR017067,ERS006941,91/40,653,227,653_91_40.fas,New Zealand,Oceania,1991,B
ERR017055,ERS006939,94/155,641,311,641_94_155.fas,New Zealand,Oceania,1994,C
ERR017062,ERS006932,A22,659,326,659_A22.fas,Norway,Europe,1986,W
ERR017004,ERS006987,A4/M1027,1,364,1_A4_M1027.fas,USA,North America,1937,A
ERR017075,ERS006944,AK22,643,342,643_AK22.fas,Greece,Europe,1992,B
ERR018873,ERS006921,AK50,647,376,647_AK50.fas,Greece,Europe,1992,B
ERR018871,ERS006923,B6116/77,639,343,639_B6116_77.fas,Iceland,Europe,1977,B
ERR045771,ERS006968,BRAZ10,468,226,468_BRAZ10.fas,Brazil,South America,1976,C
ERR017033,ERS006911,BZ_10,398,347,398_BZ_10.fas,Netherlands,Europe,1967,B
ERR017019,ERS007007,BZ_133,401,374,401_BZ_133.fas,Netherlands,Europe,1977,B
ERR016997,ERS006960,BZ_147,403,474,403_BZ_147.fas,Netherlands,Europe,1963,B
ERR045766,ERS006973,BZ_163,407,230,407_BZ_163.fas,Netherlands,Europe,1979,B
ERR017032,ERS006912,BZ_169,408,598,408_BZ_169.fas,Netherlands,Europe,1985,B
ERR017035,ERS006909,BZ_198,409,329,409_BZ_198.fas,Netherlands,Europe,1986,B
ERR017006,ERS006985,BZ_232,410,383,410_BZ_232.fas,Netherlands,Europe,1964,B
ERR017023,ERS007003,BZ_83,400,278,400_BZ_83.fas,Netherlands,Europe,1984,B
ERR016988,ERS006952,CN100,90,236,90_CN100.fas,UK,Europe,1941,A
ERR045768,ERS006971,D1,314,228,314_D1.fas,Mali,Africa,1989,C
